Biomass,C,H,O,N,S,H/C,FC,Ash,VM/FC,Temp,Time,HR,HHV,CER,Yield,Reference
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,200,20,15,19.93,103.2,83.11,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,330,20,15,25.36,79.33,50.21,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,225,20,15,20.36,101.65,80.13,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,250,20,15,21.03,90.66,69.19,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,300,20,15,23.8,82.52,55.65,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Coconut fiber,47.75,5.61,45.51,0.9,0.23,1.41,11.1,8.05,7.28,275,20,15,22.63,90.05,63.87,http://dx.doi.org/10.1016/j.fuel.2015.05.032
Orange pomace,42.62,6.36,44.78,2.08,0.16,1.79,27.8,4,2.45,350,30,5,26.01,72.45,43.2,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Poultry litter,35.7,5.27,40.98,9.61,0.24,1.77,23.5,8.2,2.91,300,30,5,20.23,81.91,49.8,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Poultry litter,35.7,5.27,40.98,9.61,0.24,1.77,23.5,8.2,2.91,500,30,5,22.26,60.26,33.3,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Orange pomace,42.62,6.36,44.78,2.08,0.16,1.79,27.8,4,2.45,600,30,5,25.1,44.67,27.6,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Vine pruning,40.86,5.27,48.07,1.03,0.47,1.55,24.8,4.3,2.86,250,30,5,19.85,110.42,71.2,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Orange pomace,42.62,6.36,44.78,2.08,0.16,1.79,27.8,4,2.45,250,30,5,21.77,101.2,72.1,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Orange pomace,42.62,6.36,44.78,2.08,0.16,1.79,27.8,4,2.45,500,30,5,23.93,47.21,30.6,http://dx.doi.org/10.1016/j.jaap.2016.05.006
Orange pomace,42.62,6.36,44.78,2.08,0.16,1.79,27.8,4,2.45,300,30,5,23.07,76.01,51.1,http://dx.doi.org/10.1016/j.jaap.2016.05.006
