Biomass,C,H,O,N,H/C,FC,Ash,VM/FC,Temp,Time,HR,Yield,Reference
Comcob,48.12,6.48,43.51,1.89,1.62,18.01,3.28,4.37,400,60,10,26.6,https://doi.org/10.1016/j.biortech.2014.07.077
Comcob,48.12,6.48,43.51,1.89,1.62,18.01,3.28,4.37,500,60,10,25.32,https://doi.org/10.1016/j.biortech.2014.07.077
Comcob,48.12,6.48,43.51,1.89,1.62,18.01,3.28,4.37,600,60,10,24.9,https://doi.org/10.1016/j.biortech.2014.07.077
Wheat straw,37.83,10.18,36.74,1.31,3.23,15.12,9.23,5,300,30,10,62.21,10.11975/j.issn.1002-6819.2018.05.026
Corn stover,41,7.17,33.24,0.99,2.1,15.38,6.12,5.1,300,30,10,62.89,10.11975/j.issn.1002-6819.2018.05.026
Rice Straw,38.62,6.1,32.88,1.6,1.9,13.43,14.63,5.36,300,30,10,72.32,10.11975/j.issn.1002-6819.2018.05.026
Rape stalk,39.7,7.63,38.8,1.13,2.31,16.12,7.63,4.73,300,30,10,69.35,10.11975/j.issn.1002-6819.2018.05.026
Wheat straw,37.83,10.18,36.74,1.31,3.23,15.12,9.23,5,400,30,10,40,10.11975/j.issn.1002-6819.2018.05.026
Rape stalk,39.7,7.63,38.8,1.13,2.31,16.12,7.63,4.73,400,30,10,38.66,10.11975/j.issn.1002-6819.2018.05.026
Rice Straw,38.62,6.1,32.88,1.6,1.9,13.43,14.63,5.36,400,30,10,44.56,10.11975/j.issn.1002-6819.2018.05.026
Corn stover,41,7.17,33.24,0.99,2.1,15.38,6.12,5.1,400,30,10,41.58,10.11975/j.issn.1002-6819.2018.05.026
Cotton stalk,36.71,7.77,41.55,1.19,2.54,17.96,4.38,4.32,400,30,10,42.73,10.11975/j.issn.1002-6819.2018.05.026
Wheat straw,37.83,10.18,36.74,1.31,3.23,15.12,9.23,5,500,30,10,36.56,10.11975/j.issn.1002-6819.2018.05.026
Rape stalk,39.7,7.63,38.8,1.13,2.31,16.12,7.63,4.73,500,30,10,33.18,10.11975/j.issn.1002-6819.2018.05.026
