Biomass,C (wt%),H (wt%),O (wt%),N (wt%),S (wt%),H/C (wt%),O/C (wt%),(O+N)/C (wt%),BHHV (MJ/kg),VM (wt%),FC (wt%),Ash (wt%),VM/FC (wt%),CL (wt%),HC (wt%),LG (wt%),Temp (°C),Time (min),HR (°C/min),HHV (MJ/kg),Yield (%),CER (%),Reference
Mesocarp fiber,45.03,6.15,47.89,0.94,0,1.64,0.8,0.82,15.45,85.34,8.32,6.35,10.26,23.7,30.5,27.3,500,6,10,29.06,29.8,56.04,https://doi.org/10.1007/s12155-013-9313-8
Palm empty fruit bunches,43.06,5.98,50.42,0.55,0,1.65,0.88,0.89,14.09,85.28,11.6,3.11,7.35,51.2,22.5,21.3,500,14,10,21.34,29.05,43.99,https://doi.org/10.1007/s12155-013-9313-8
Palm shell,52.05,5.37,42.1,0.49,0,1.23,0.61,0.61,17.75,77.12,13.85,9.02,5.57,27.7,21.6,44,500,16,10,28.85,35.26,57.32,https://doi.org/10.1007/s12155-013-9313-8
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,16,33.24,200,15,22,20,94.9,88.5,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,16.77,27.54,200,30,10,19.9,92.7,86,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,200,45,10,20.87,93.2,90.7,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,200,60,10,20.87,93.1,90.61,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,16,33.24,250,15,22,20.22,91.6,86.38,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,16.77,27.54,250,30,10,20.12,86.6,81.24,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,250,45,10,21.01,82.2,80.52,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,250,60,10,21.01,81.7,80.03,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,15.85,33.24,275,15,17,20.21,85.86,80.9,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.1,16.77,27.54,275,30,10,25.29,72.07,84.99,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,275,45,10,26.47,68.6,84.67,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,275,60,10,26.56,66.6,82.48,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.07,15.72,33.23,300,15,16,25.5,78.5,93.34,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,34.07,16.63,27.53,300,30,10,25.97,63,76.29,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,300,45,10,26.9,58.6,73.5,https://doi.org/10.1016/j.apenergy.2018.03.129
Chinese medicine residue,52.86,7.22,37.77,2.15,0.12,1.63,0.54,0.57,21.45,87.61,9.89,2.5,8.86,6,9.35,7.85,300,60,10,26.94,55.7,69.97,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,15.47,35.66,200,15,22,20.06,98.2,90.86,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,16.05,31.14,200,30,10,19.62,97,87.81,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,200,45,10,20.51,96.79,91.59,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,200,60,11,20.81,94.55,90.78,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,15.47,35.66,250,15,22,20.33,96.65,90.64,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,16.05,31.14,250,30,10,19.98,90.97,83.83,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,250,45,10,21.1,85.5,83.21,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,250,60,10,25.37,81.1,94.92,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,15.33,35.66,275,15,17,24.44,85.03,95.87,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,16.05,31.16,275,30,10,24.08,74.43,82.68,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,275,45,10,25.68,65.74,77.88,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,8.17,9.98,15.01,275,60,10,26.68,63.8,78.52,https://doi.org/10.1016/j.apenergy.2018.03.129
Spent coffee grounds,52.99,7.29,37.22,2.5,0,1.64,0.53,0.57,21.68,88.81,10.43,0.76,8.51,48.92,15.2,35.65,300,15,18,25.96,63.91,76.54,https://doi.org/10.1016/j.apenergy.2018.03.129
